,Date,User,Tweet,Like,Reply,Retweet,Quote
0,2022-01-12 23:59:41+00:00,ISDA_Tambasakan,"Being tapat should start with you Madam @lenirobredo.How can you promise a tapat government when you can't even accept the fact that your 4 x 40 vid is not spliced?
Angat in what sense?Ok na kami sa Duterte kind of leadership.Enough of the yellow turned pink era. https://t.co/uhsxBzvSgX qqqqq",13,1,0,0
1,2022-01-12 23:58:30+00:00,jgwndrlal,"Jusko beh, magpopost talaga ako ng Leni kineso dito sa may gate namin, haters gonna hate, chiz. qqqqq",1,0,0,0
2,2022-01-12 23:58:00+00:00,HausOfJulian_,"Mga badeng, signup na kayo sa https://t.co/Va6aeVIeTD at ipanalo na natin si Leni ditoooooo!!! 💗 qqqqq",0,0,0,0
3,2022-01-12 23:57:36+00:00,FanOfKurzweil,"Ann Coulter realizes that she's disliked
 and has decided to legally change her first name...

to Leni qqqqq",0,0,0,0
4,2022-01-12 23:55:21+00:00,pitchy_a42,"Just the COA record of VP Leni is enough to vote for her. Though, we cant eradicate corruption in the govt, napakalaking bagay na ang maging presidente ay di corrupt plus she is a very wise budgetarian &amp; practical, economist eh.#LeniKiko2022 #voteverywisely #futurengPinas qqqqq",0,0,0,0
5,2022-01-12 23:54:44+00:00,bilatinangapple,bat andaming let leni lead gagi bbm ako qqqqq,0,1,0,0
6,2022-01-12 23:54:00+00:00,kyrarios,"Nung sinabi ng nanay kong apologist na:
“Wala namang nagawa si Leni”

Tapos nag-follow up ng:
“Well, pati naman si BBM wala rin nagawa”

I FELT THAT. https://t.co/jPbSFtFsOD qqqqq",0,0,0,0
7,2022-01-12 23:52:52+00:00,iamZabiulHassan,"A Business Man, Business Life Lessons. 

#1-Ksi k nam pr property nahi leni.
#2-Brha Qarza nahi dena.
#3-Ksi staff member ko bank access nahi dena. 
#4-Family members, Friends, Staff's Family members, friends ko hire nahi krna.
#5-Staff member ko contracts ki authority nahi dena. qqqqq",0,0,0,0
8,2022-01-12 23:51:22+00:00,92VenK,"Gumawa pa talaga mga trolls ni BBM ng Facebook Group para sira-siraan si VP Leni tapos mag demand ng respect,HINDE nyu deserve respeto. qqqqq",4,0,0,0
9,2022-01-12 23:49:19+00:00,avicor1,Hypocrisy ng Leni-Kiko supporters. https://t.co/Ox2W80qwbt qqqqq,0,0,0,0
10,2022-01-12 23:47:55+00:00,IsaganiBaria,"Yes, consistent ang ating VP Leni Robredo sa pagtulong maski walang ibinigay si putangina legaçy dutérte pera sa kanya! https://t.co/RKC18FHQMm qqqqq",0,0,0,0
11,2022-01-12 23:44:36+00:00,Rufruf19,"Naguluhan na din ako sa definition ng dreams and aspirations. Basta dream ko manalo si Leni sa May, matapos ang covid and mafix ang environment due to global warming.

 #KBBConnectSpace #KBBPangarapKanalangBa https://t.co/xjKeXzvJZg qqqqq",4,0,0,0
12,2022-01-12 23:43:26+00:00,kristie_akp,Kaya mo ba dinelete yung survey kasi si Leni yung nanalo emzzz qqqqq,6,2,0,0
13,2022-01-12 23:41:42+00:00,Julitamc2,"Leni can’t even tell her followers to clean up after every rally, caravan, or any pinklawan get together🙄, much more kayiwalian sa gobyerno. https://t.co/XloMAqyLNm qqqqq",10,0,0,0
14,2022-01-12 23:41:40+00:00,zonarojas,"Mientras merendaba y leía, Leni se hizo amiga de un puercoespín bastante simpaticón. Acepté llevarlo a casa. Pobre, no se imagina que Leni los lleva a casa para revolearlos por el techo y morderlos mal sobre todo si hacen ruido, tal el caso del futuro occiso. https://t.co/rTrIZ81v9D qqqqq",21,3,0,0
15,2022-01-12 23:41:39+00:00,SerBrownLegend,Tind kera leni hai maine srsly qqqqq,3,0,0,0
